episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-10.5565,46,-10.5565,-10.5565,0
2,-314.1652,1000,-162.3608,-10.5565,0
3,-34.6458,31,-119.7892,-10.5565,0
4,-346.4942,1000,-176.4654,-10.5565,0
5,-45.1643,81,-150.2052,-10.5565,0
6,-76.6479,110,-137.9457,-10.5565,0
7,-20.4013,61,-121.1536,-10.5565,0
8,-5.6179,41,-106.7117,-5.6179,0
9,0.5435,122,-94.7944,0.5435,0
10,-45.2361,77,-89.8386,0.5435,0
11,-107.1485,253,-91.4122,0.5435,0
12,-41.2189,50,-87.2294,0.5435,0
13,-123.2675,114,-90.0016,0.5435,0
14,-31.9855,86,-85.8576,0.5435,0
15,-67.0093,97,-84.601,0.5435,0
16,-52.5058,91,-82.5951,0.5435,0
17,30.4473,44,-75.9455,30.4473,0
18,-43.3118,36,-74.1325,30.4473,0
19,-44.8964,65,-72.5938,30.4473,0
20,-19.9617,84,-69.9622,30.4473,0
21,-5.4917,42,-66.8922,30.4473,0
22,-55.8642,92,-66.3909,30.4473,0
23,-42.9501,203,-65.3717,30.4473,0
24,-341.3189,1000,-76.8695,30.4473,0
25,-23.5128,113,-74.7353,30.4473,0
26,-32.4733,128,-73.1098,30.4473,0
27,-21.5962,103,-71.2019,30.4473,0
28,0.2049,21,-68.6517,30.4473,0
29,-9.9445,69,-66.6273,30.4473,0
30,-373.9923,1000,-76.8728,30.4473,0
31,-28.7983,27,-75.322,30.4473,0
32,-3.0492,12,-73.0635,30.4473,0
33,-428.3084,1000,-83.8285,30.4473,0
34,-5.5928,32,-81.5274,30.4473,0
35,-331.272,1000,-88.663,30.4473,0
36,-14.8441,27,-86.6124,30.4473,0
37,-372.2193,1000,-94.3315,30.4473,0
38,-94.5621,195,-94.3376,30.4473,0
39,-81.1712,159,-94.0,30.4473,0
40,6.0482,290,-91.4988,30.4473,0
41,26.9936,1000,-88.6087,30.4473,0
42,716.2954,1000,-69.4444,716.2954,0
43,715.6992,1000,-51.1852,716.2954,0
